english,russian
inject,"вводить, впрыскивать"
injection,"инъекция, впрыск, введение"
ink,"чернила, тушь, краска"
inmate,"узник, заключённый, заключенный"
innovation,"инновация, новаторство, нововведение"
innovative,"инновационный, новаторский"
input,"ввод, вход"
insert,"вставлять, вводить, вставить"
insertion,"вставка, введение, включение"
insider,"инсайдер, хорошо осведомлённый человек"
inspect,"проверять, проверить, осматривать, осмотреть, рассмотреть"
inspection,"осмотр, обследование, проверка, контроль, инспектирование"
inspector,"проверяльщик, инспектор, ревизор, проверяющий"
inspiration,"вдохновение, воодушевление"
installation,"установка, монтаж, сооружение"
instant,"мгновенный, моментальный"
instantly,"мгновенно, моментально, сразу"
instinct,"чутьё, инстинкт, интуиция"
institutional,"институциональный, институционный, организационный"
instruct,"инструктировать, обучать, давать приказ"
instrumental,инструментальный
insufficient,недостаточный
insult,"оскорбление, оскорблять, оскорбить"
intact,"неповреждённый, нетронутый"
intake,"потребление, приём"
integral,"неотъемлемый, целостный, комплексный"
integrate,интегрировать
integrated,"интегрированный, встроенный"
integration,"интеграция, встраивание"
integrity,"целостность, добросовестность, честность, порядочность"
intellectual,"интеллектуальный, интеллектуал, интеллигент"
intensify,"усилить, нарастить, наращивать, увеличивать, увеличить"
intensity,"интенсивность, глубина (цвета)"
intensive,"интенсивный, тщательный, активный, усиленный"
intent,"намерение, цель, умысел, замысел"
interact,взаимодействовать
interaction,взаимодействие
interactive,интерактивный
interface,интерфейс
interfere,"вмешиваться, препятствовать"
interference,"вмешательство, помеха, нарушение"
interim,"временный, промежуточный"
interior,"интерьер, внутренний"
intermediate,"промежуточный, средний, переходный"
interpretation,"интерпретация, толкование, понимание"
interval,"интервал, промежуток"
intervene,вмешиваться
intervention,"вмешательство, интервенция"
intimate,"интимный, близкий"
intriguing,"интригующий, увлекательный, занимательный"
invade,"вторгаться, вмешиваться"
invasion,"вторжение, вмешательство, нашествие"
investigator,следователь
investor,"инвестор, вкладчик"
invisible,невидимый
invoke,"вызывать, призывать, ссылаться"
involvement,"участие, вовлечение, причастность"
ironic,"ироничный, иронический"
ironically,"иронично, по иронии судьбы, по иронии"
irony,ирония
irrelevant,"неуместный, не имеющий отношения к делу, малозначительный"
isolate,изолировать
isolated,"изолированный, отдельный, обособленный"
isolation,изоляция
jail,"тюрьма, сажать в тюрьму"
jet,"струя, поток, реактивный самолёт"
joint,"соединять, соединение, сустав, кабак, забегаловка, совместный, общий"
journalism,журналистика
judicial,"судебный, судейский, законный"
junction,"перекресток, узел, соединение, пересечение"
jurisdiction,юрисдикция
jury,"жюри, суд присяжный"
just,"справедливый, объективный, беспристрастный"
justification,"оправдание, обоснование"
kidnap,"похитить, похищать"
kidney,почка
kingdom,"королевство, царство"
kit,"набор, комплект"
lad,"парень, мальчишка"
ladder,лестница
landing,"посадка, приземление"
landlord,"арендодатель, владелец"
landmark,"ориентир, достопримечательность, памятник"
lane,"переулок, аллея"
lap,"круг, заезд, раунд"
large-scale,крупномасштабный
laser,лазер
lately,"в последнее время, за последнее время"
latter,"последний, поздний"
lawn,"газон, лужайка"
lawsuit,"судебный процесс, иск"
layout,"макет, план, планировка, структура, разметка"
leaflet,"листовка, брошюра"
leak,"утечка, утекать, течь, сливать"
leap,"скачок, прыжок, прыгать, прорыв"
legacy,"наследие, наследство, достояние"
legend,легенда
legendary,легендарный
legislation,"законодательство, закон, законопроект"
legislative,законодательный
legislature,"законодательный орган, законодатель, законодательная власть"
legitimate,"законный, легитимный"
lengthy,"длительный, долгий, затяжной"
lens,"линза, объектив"
lesbian,лесбиянка
lesser,"малый, небольшой, незначительный"
lethal,"летальный, смертельный"
liable,ответственный
liberal,"либеральный, свободный, либерал"
liberation,освобождение
liberty,"свобода, вольность"
license,лицензировать
lifelong,"пожизненный, долгосрочный, на протяжении всей жизни"
lifetime,"продолжительность жизни, пожизненный"
lighting,освещение
likelihood,"вероятность, возможность, правдоподобие"
likewise,"также, аналогичным образом, таким же образом"
limb,конечность
limitation,ограничение
linear,"линейный, прямолинейный"
line-up,"расстановка, расположение"
linger,"задерживаться, бездельничать, шляться без дела"
listing,"список, перечень"
literacy,грамотность
literally,"буквально, дословно"
literary,литературный
litre,литр
litter,"помёт, мусор"
liver,печень
lobby,"лобби, фойе, холл, лоббировать"
log,"журнал, дневник, заносить в журнал"
logic,"логика, логичность"
logo,логотип
long-standing,"давний, длительный"
long-time,"многолетний, долгое время, в течение длительного времени"
loom,"мерещиться, появиться, появляться, маячить"
loop,"петля, цикл, контур"
lottery,лотерея
loyal,"лояльный, верный, преданный"
loyalty,"лояльность, верность, преданность"
lyric,"лирика, слово"
machinery,"оборудование, техника, машинное оборудование"
magical,"магический, волшебный, сказочный"
magistrate,судья
magnetic,"магнитный, магнетический"
magnificent,"великолепный, замечательный, прекрасный, бесподобный"
magnitude,"величина, магнитуда"
mainland,"материк, континент, суша"
mainstream,"популярный, мейнстрим, основное направление, модный тренд, главный тренд"
maintenance,"обслуживание, содержание"
make-up,макияж
making,"создание, изготовление, производство"
mandate,"мандат, полномочия"
mandatory,"обязательный, принудительный"
manifest,"проявляться, обнародовать, проявлять"
manipulate,"манипулировать, управлять"
manipulation,"манипуляция, управление, манипулирование"
manufacture,"изготавливать, производить, изготовить, создавать, создать"
manufacturing,"производство, изготовление"
manuscript,"рукопись, манускрипт"
marathon,марафон
march,"марш, маршировать, демонстрация"
margin,"маржа, разница"
marginal,"окраинный, маргинальный, несущественный, крайний, предельный"
marine,морской
marker,"маркер, метка, показатель, признак"
marketplace,"рынок, торговая площадь, торговая площадка, маркетплейс"
martial,военный
mask,маска
massacre,"резня, массовое убийство, бойня"
mate,"товарищ, помощник, приятель, спариваться"
mathematical,математический
mature,"зрелый, созревший, развитый, возмужалый, созреть, вырасти"
maximize,максимизировать
mayor,"мэр, градоначальник"
meaningful,"значимый, информативный, значительный, содержательный, важный"
meantime,"момент, тем временем, между тем"
mechanic,"механик, слесарь"
mechanical,"механический, машинный, технический, машинальный"
mechanism,"механизм, устройство"
medal,медаль
medication,"лекарство, препарат, лечение"
medieval,средневековый
meditation,"медитация, размышление"
melody,"мелодия, напев"
membership,членство
memo,"записка, памятка, меморандум"
memoir,"мемуары, воспоминания"
memorial,памятник
mentor,"ментор, наставник"
memorable,запоминающийся
merchant,"купец, торговец"
mercy,"милость, милосердие, сострадание"
mere,"просто, простой, чистый"
merely,"всего лишь, просто, только"
merge,"объединять, объединить, сливаться"
merger,"слияние, объединение"
merit,"заслуга, достоинство"
metaphor,метафора
methodology,"методология, методика"
midst,"середина, центр"
migration,"миграция, переход"
militant,"боевик, воинственный, воинствующий"
militia,"милиция, ополчение"
mill,"мельница, стан"
miner,шахтёр
minimal,"минимальный, наименьший"
minimize,"минимизировать, свести к минимуму"
mining,"добыча, добыча полезных ископаемых"
ministry,министерство
minute,"минутный, незначительный, пустяковый"
miracle,чудо
miserable,"несчастный, убогий, жалкий, печальный"
misery,"несчастье, горе, страдание, бедствие"
misleading,"обманчивый, лживый, вводящий в заблуждение"
missile,"ракета, снаряд"
mob,"толпа, сборище, банда"
mobility,"мобильность, подвижность, маневренность"
mobilize,"мобилизовать, привлекать, задействовать"
mode,"режим, способ, метод"
moderate,"умеренный, средний, сдержанный"
modest,"скромный, небольшой, ограниченный, сдержанный"
modification,"модификация, изменение, доработка"
momentum,"импульс, момент, динамика, темп"
monk,монах
monopoly,монополия
monster,"монстр, чудовище"
monthly,"ежемесячный, месячный"
monument,"памятник, монумент, мемориал"
morality,"нравственность, мораль"
moreover,"более того, кроме того"
mortgage,ипотека
mosque,мечеть
motion,движение
motivate,"мотивировать, стимулировать"
motivation,"мотивация, стимул"
motive,"мотив, побуждение, основание"
motorist,"автомобилист, водитель"
moving,"трогательный, волнующий, движущийся"
municipal,"муниципальный, местный, городской"
mutual,"взаимный, совместный"
myth,"миф, вымысел"
naked,"голый, нагой, явный, обнажённый"
namely,"а именно, конкретно, то есть"
nasty,"противный, мерзкий, неприятный"
nationwide,"по всей стране, общенародный, всенародный, общенациональный"
naval,"морской, военно-морской, флотский"
navigation,навигация
nearby,"близлежащий, соседний, ближний, поблизости, неподалеку, подле"
necessity,"необходимость, потребность, нужда"
neglect,"пренебрежение, игнорирование, пренебрегать, игнорировать"
negotiate,"вести переговоры, переговариваться"
negotiation,"переговоры, ведение переговоров, обсуждение"
neighbouring,соседний
nest,гнездо
net,чистый
neutral,"нейтральный, безразличный"
newly,"вновь, недавно"
newsletter,"новости, информационный листок, вестник"
niche,"ниша, убежище"
noble,благородный
nod,"кивать, кивать головой"
nominate,"выдвигать кандидатуру, предлагать, номинировать, назначить"
nomination,"номинация, выдвижение, назначение"
nominee,"кандидат, номинант"
nonetheless,"тем не менее, однако, всё же"
non-profit,некоммерческий
nonsense,"нонсенс, чепуха, бессмыслица, нелепица, абсурд"
noon,полдень
norm,норма
notable,"заметный, значительный, примечательный"
notably,"особенно, заметно, в частности, существенно"
notebook,"блокнот, тетрадь, записная книжка"
notify,"уведомлять, уведомить, сообщать, информировать, оповещать"
notorious,"печально известный, пресловутый"
novel,"новый, новаторский, нестандартный, оригинальный"
novelist,"писатель, романист"
nowadays,"в настоящее время, ныне, теперь, в наши дни, в наше время, сейчас"
nursery,"питомник, ясли, детская комната"
nursing,"грудной, кормящий"
nutrition,"питание, кормление"
obesity,"ожирение, тучность"
objection,"возражение, протест, несогласие"
oblige,"обязывать, принуждать, заставлять"
observer,"наблюдатель, обозреватель, зритель"
obsess,"зацикливаться, беспокоиться, овладевать, увлекаться"
obsession,"одержимость, зависимость, зацикленность"
obstacle,"препятствие, помеха, преграда"
occasional,"случайный, нерегулярный"
occupation,"оккупация, занятие, род деятельности, профессия, должность"
occupy,"оккупировать, занять"
occurrence,"происхождение, появление, случай, событие"
odds,"шансы, вероятность, шанс"
offender,"преступник, правонарушитель, нарушитель"
offering,"дар, жертва, подношение, предложение"
offspring,"потомство, отпрыск, потомок"
ongoing,"продолжительный, продолжающийся, текущий, постоянный"
openly,"открыто, откровенно"
opera,опера
operational,"операционный, рабочий, исправный"
operator,"оператор, диспетчер, управляющий"
opt,выбирать
optical,оптический
optimism,"оптимизм, оптимистичность"
optimistic,оптимистичный
oral,"устный, ротовой, оральный, словесный"
orchestra,оркестр
organic,"органичный, органический, естественный"
organizational,организационный
orientation,"ориентация, ориентирование, ориентировка, направленность"
originate,"возникать, происходить, зарождаться, формироваться"
outbreak,"вспышка, неожиданное начало, начало, внезапное начало"
outfit,"наряд, снаряжение, одежда, экипировка"
outing,"прогулка, поход, турпоход"
outlet,"розетка, выход, отвод, торговая точка, торговый центр"
outlook,"перспектива, прогноз, мировоззрение, взгляд, точка зрения"
output,"выход, производительность, выпуск, результат"
outrage,"возмущение, негодование, оскорбить, надругаться"
outsider,"чужак, аутсайдер, посторонний"
outstanding,"выдающийся, выделяющийся, отличный, замечательный"
overcome,"преодолевать, превосходить"
overlook,"не замечать, игнорировать, не придавать значения"
overly,"чрезмерно, чересчур, слишком"
overnight,"всю ночь, в одночасье, на ночь, неожиданно, накануне вечером"
overseas,"зарубежный, заграничный, за границей, зарубежно, заморский"
oversee,"осуществлять надзор, следить, присматривать"
overturn,"переворачивать, опровергать"
overwhelm,"ошеломлять, подавлять, овладевать, поражать"
overwhelming,"подавляющий, ошеломляющий, непреодолимый, чрезмерный"
ownership,"владение, собственность, право собственности"
oxygen,кислород
packet,"пакет, пачка"
pad,"площадка, прокладка, накладка, подушечка, тампон, панель"
palm,"пальма, ладонь"
panic,паника
parade,"парад, шествие"
parallel,"параллель, аналогия, параллельный, аналогичный"
parameter,"показатель, параметр"
parental,родительский
parish,"приход, округ"
parliamentary,парламентарный
partial,"частичный, неполный"
partially,"частично, отчасти"
participation,"участие, причастность"
partnership,"сотрудничество, партнёрство"
part-time,"неполный, неполный рабочий день, на полставки, не полную недели"
passing,"проходящий, переходящий, случайный, мгновенный"
passionate,"страстный, желанный, горячий, пламенный"
passive,"пассивный, бездеятельный"
password,"пароль, пропуск"
pastor,"пастор, пастырь"
patch,"патч, заплатка"
patent,"патент, право"
pathway,"путь, дорожка, тропа, тропинка"
patience,"терпение, терпеливость"
patrol,"патруль, патрулировать, патрулирование, обход"
patron,"покровитель, меценат, патрон, глава, шей"
pause,"пауза, перерыв, остановка, передышка, сделать паузу"
peak,"пик, вершина, максимум, высшая точка, кульминация"
peasant,"крестьянин, простолюдин"
peculiar,"своеобразный, особенный, необычный, особый, специфичный"
peer,"ровесник, сверстник, ровня"
penalty,"штраф, пенальти, наказание"
perceive,"ощущать, воспринимать"
perception,"восприятие, ощущение, представление"
permanently,"навсегда, постоянно, окончательно"
persist,"настаивать, упорствовать, сохраняться, продолжать действовать"
persistent,"устойчивый, постоянный, настойчивый, упорный, стойкий"
personnel,"персонал, кадры, сотрудники, штат"
petition,"заявление, петиция, ходатайство, прошение"
philosopher,"философ, мыслитель"
philosophical,философский
physician,"врач, доктор, медик, терапевт"
pill,"таблетка, пилюля"
pioneer,"пионер, первопроходец, новатор, быть первопроходцем"
pipeline,"трубопровод, нефтепровод, канал"
pirate,пират
pit,"яма, карьер, лунка, котлован, впадина"
pity,"жалость, сострадание, жалкий, неприятный"
placement,"размещение, расположение, назначение, трудоустройство"
plea,"заявление, аргумент, просьба"
plead,"умолять, просить, выступать в суде"
pledge,"залог, обязательство, обещание, поручительство, давать обещание"
plug,"вилка, штекер, закупоривать"
plunge,"погружать, погружаться, окунать, окунаться"
pole,"полюс, столб"
poll,опрос
pond,пруд
pop,"лопаться, хлопать, издавать хлопок, глотать"
portfolio,"портфолио, портфель"
portion,"часть, доля, порция"
portray,"изображать, изобразить"
postpone,"отложить, откладывать, переносить, отсрочить"
post-war,послевоенный
potentially,"потенциально, возможно, теоретически"
practitioner,"практик, практикующий специалист"
preach,"поучать, проповедовать"
precede,предшествовать
precedent,прецедент
precious,"драгоценный, ценный, бесценный"
precise,"точный, конкретный"
precisely,"точно, именно"
precision,"точность, четкость, аккуратность"
predator,хищник
predecessor,предшественник
predictable,"предсказуемый, прогнозируемый"
predominantly,"преимущественно, особенно"
preference,"преимущество, предпочтение"
pregnancy,беременность
prejudice,"ущерб, предвзятость, предубеждение"
preliminary,"подготовительный, предварительный, начальный"
premier,"премьер, премьер-министр"
premise,предположение
premium,"премия, взнос, награда"
prescribe,"назначать, предписывать"
prescription,"рецепт, предписание, назначение"
presently,"сейчас, в настоящее время"
preservation,"сохранение, сохранность, охрана, хранение"
preside,"руководить, главенствовать, председательствовать"
presidency,"председательство, президентство, пост президента"
presidential,президентский
prestigious,престижный
presumably,"предположительно, вероятно, возможно"
presume,"предполагать, предположить, полагать, позволять себе"
prevail,"преобладать, одерживать победу, превалировать"
prevalence,"преобладание, распространенность"
prevention,"предотвращение, профилактика, предупреждение"
prey,"добыча, жертва"
pride,"гордость, гордыня, достоинство"
primarily,"в первую очередь, преимущественно, прежде всего, главным образом"
principal,"основной, главный, руководитель, директор"
prior,"предыдущий, предшествующий"
privatization,приватизация
privilege,"привилегия, честь"
probability,"вероятность, возможность"
probable,"вероятный, возможный"
probe,"зонд, датчик, проба, прощупывать, пробовать"
problematic,"проблематичный, сомнительный"
proceed,"приступать, действовать, происходить"
proceedings,"дела, процедура, процесс, разбирательство, судопроизводство"
proceeds,"выручка, поступления"
processing,"обработка, оформление, рассмотрение"
processor,"обработчик, процессор"
proclaim,"провозглашать, проповедовать, возвещать, заявлять, объявлять"
productive,"продуктивный, плодовитый, работящий"
productivity,"продуктивность, производительность, эффективность"
profitable,"прибыльный, доходный, выгодный, рентабельный"
profound,"глубокий, глубокомысленный, сильный"
programming,программирование
progressive,"прогрессивный, передовой"
prohibit,"запретить, запрещать"
projection,"проекция, выступ, прогноз, проектирование"
prominent,"выдающийся, известный, видный, значительный"
promising,"перспективный, многообещающий"
promotion,"продвижение, содействие, повышение, повышение в звании"
prompt,"подсказывать, побуждать"
pronounced,"выраженный, произнесенный"
propaganda,"пропаганда, агитация"
proportion,"доля, часть, соотношение, пропорция, пропорциональность"
proposition,предложение
prosecute,"привлекать к ответственности, преследовать, обвинять"
prosecution,"уголовное преследование, преследование, судебное преследование"
prosecutor,"прокурор, обвинитель"
prospective,"перспективный, будущий, потенциальный, предполагаемый"
prosperity,"процветание, благосостояние, благополучие, преуспевание, достаток"
protective,"защитный, предохранительный"
protein,"протеин, белок"
protester,"протестующий, протестант"
protocol,"протокол, правила"
province,"провинция, область, компетенция"
provincial,"провинциальный, местный"
provision,"обеспечение, предоставление, положение, резерв, снабжение"
provoke,"провоцировать, спровоцировать"
psychiatric,психиатрический
psychological,психологический
publicity,"известность, гласность, публичность"
publishing,"публикация, издательство, издание"
pulse,"импульс, пульс, пульсация, биение"
pump,"насос, качать, накачивать"
punch,"удар, ударять, компостировать"
punk,"панк, сопляк, дурак, слюнтяй"
purely,"чисто, сугубо, исключительно"
pursuit,"преследование, стремление, погоня"
puzzle,"пазл, головоломка, загадка, мозаика"
query,"запрос, сомнение, вопрос"
quest,"квест, поиск, искание"
questionnaire,"опросник, анкета, вопросник"
quota,"квота, часть, доля"
racial,"расовый, расистский"
racism,расизм
racist,"расист, расистский"
radar,радар
radiation,"излучение, радиация, облучение"
radical,"радикальный, коренной"
rage,"ярость, гнев"
raid,"рейд, набег, проводить набег, нападать"
rail,"рельс, перила"
rally,"авторалли, митинг, сплотиться"
random,"случайный, произвольный"
ranking,"рейтинг, ранжирование, иерархия"
rape,"изнасилование, насиловать, изнасиловать"
rat,крыса
rating,"рейтинг, оценка"
ratio,"соотношение, коэффициент, пропорция, сечение, показатель"
rational,"рациональный, разумный"
ray,"луч, излучение"
readily,"легко, охотно"
realization,"осознание, реализация, осуществление"
realm,"царство, королевство, сфера"
rear,"тыл, задняя часть, задний, тыловой"
reassure,"успокоить, заверить, ободрять, обнадеживать"
reasonably,"обоснованно, разумно"
reasoning,"рассуждение, обоснование"
rebel,"бунтарь, мятежник"
rebellion,"бунт, восстание, мятеж"
rebuild,"перестраивать, восстанавливать, переделывать, строить заново"
receiver,"приёмник, получатель, ресивер"
recession,"спад, кризис, рецессия"
recipient,"получатель, адресат"
reckon,"считать, рассчитывать, думать"
recognition,"признание, опознание, распознание"
reconstruction,"реконструкция, восстановление"
recount,"излагать подробно, рассказывать"
recovery,"восстановление, выздоровление"
recruit,"рекрут, рекрутировать, нанимать"
recruitment,"рекрутинг, набор, набор персонала, найм"
referee,"рефери, судья"
referendum,"народное голосование, референдум"
reflection,"отражение, рефлексия, размышление, обдумывание"
reform,"реформа, реформирование, проводить реформы, исправлять"
refuge,"убежище, прибежище"
refugee,"беженец, беженка"
refusal,"отказ, отклонение"
regain,"вернуть, возвращать, восстановить"
regardless,"независимо от, всё равно"
regime,"режим, власть, строй"
registration,"регистрация, оформление"
regulate,"регулировать, регламентировать, нормировать, нормализовывать"
regulator,"регулятор, стабилизатор"
regulatory,"регуляционный, нормативный, регулятивный"
rehabilitation,"реабилитация, восстановление"
reign,"царствование, правление, царствовать, править"
reinforce,"усиливать, укреплять, подкреплять"
rejection,"отказ, неприятие, отклонение"
relevance,"актуальность, значимость, релевантность"
reliability,"надёжность, достоверность, безопасность работы"
relieve,"облегчать, освобождать, уменьшать"
relieved,"облегчённый, освобождённый"
reluctant,"неохотный, нерасположенный, вынужденный"
remainder,"остаток, остальное"
remains,"остатки, останки, следы"
remarkable,"выдающийся, значительный, уникальный, примечательный"
remarkably,"замечательно, значительно, удивительно, примечательно"
remedy,"средство, лекарство"
reminder,"напоминание, памятка"
removal,"удаление, снятие"
render,"оказывать, предоставлять, выносить"
renew,"возобновлять, обновить, продлить срок действия"
renowned,"известный, знаменитый"
rental,"аренда, арендная плата"
replacement,"замена, смена"
reportedly,"по сообщениям, как сообщается, по имеющимся сведения"
reporting,"информирование, отчётность"
representation,"образ, представление, представительство, картина"
reproduce,"воспроизводить, воспроизвести, воспроизводиться"
reproduction,"репродукция, воспроизведение, размножение, воспроизводство"
republic,республика
resemble,"напоминать, походить"
reside,"проживать, находиться"
residence,"резиденция, проживание, место жительства"
residential,"жилой, жилищный"
residue,"остаток, осадок"
resign,"отказываться, уходить в отставку, слагать полномочия"
resignation,"отставка, увольнение, покорность, заявление об уходе"
resistance,"сопротивление, устойчивость, стойкость"
resolution,"разрешение, решение, резолюция, решимость"
respective,"соответствующий, соответственный"
respectively,"соответственно, соответствующе"
restoration,"восстановление, реставрация"
restore,"восстанавливать, реставрировать"
restraint,"сдержанность, ограничение"
restrict,"ограничивать, ограничить"
restriction,"ограничение, запрет"
resume,"возобновлять, резюмировать, подводить итоги"
retail,"ритейл, розница, розничная торговля"
retirement,"уход в отставку, уход на пенсию, пенсия, уход"
retreat,"удаляться, отступление, пристанище, отбой"
retrieve,"восстанавливать, извлекать"
revelation,"откровение, выявление, открытие, разоблачение"
revenge,"реванш, месть"
revenue,"доход, выручка"
reverse,"обратный, реверс, обратное, изменять, отменять, противоположное"
revision,"пересмотр, ревизия, редакция, сверка, поправка, исправление"
revival,"возрождение, пробуждение, оживление, восстановление, возобновление"
revive,"восстановить, возродить, пробудить"
revolutionary,революционный
rhetoric,"риторика, ораторское искусство"
ridiculous,"смешной, нелепый, глупый, странный"
rifle,"винтовка, карабин, ружьё, нарез"
riot,"бунт, мятеж, беспорядки, буйство, волнение"
rip,"порвать, рвать, разрывать"
risky,"рискованный, рискованно"
ritual,"ритуал, обряд"
rival,"соперник, конкурент, соперница, противник"
rob,"грабить, обкрадывать"
robbery,"грабёж, разбой"
robust,"прочный, надёжный, крепкий, сильный"
rock,"качать, раскачивать, ошарашивать"
rocket,"ракета, руккола"
rod,"штанга, стержень, прут, удочка"
romance,"романтика, роман, романтические отношения"
rose,роза
rotate,"вращать, вращаться, поворачивать, крутить"
rotation,"вращение, поворот, оборот"
roughly,"примерно, приблизительно, около"
ruin,"разрушать, портить, руина, развалина"
ruling,"постановление, решение"
rumor,слух
sack,"уволить, вышвырнуть"
sacred,"священный, святой, сакральный"
sacrifice,"жертвовать, приносить в жертву, жертвоприношение, жертва"
saint,святой
sake,сакэ
sanction,"разрешение, запрет, санкция"
satisfaction,"удовлетворение, удовлетворённость"
say,"мнение, право голоса, выражение, высказывание"
scandal,скандал
scare,"пугать, запугивать, паника"
scattered,"рассеянный, разбросанный, рассыпанный"
scenario,"сценарий, план, вариант"
sceptical,скептический
scholar,"учёный, исследователь"
scholarship,"стипендия, грант, образованность"
scope,"рамки, область, сфера, объём, охват, возможность, диапазон, трубка"
scratch,"царапать, чесать, царапина, ссадина"
screening,"скрининг, показ, обследование, отбор"
screw,"винт, шуруп, привинчивать, привинтить, вкручивать, трахать"
scrutiny,"проверка, тщательное исследование, внимательный осмотр"
seal,"уплотнение, печать, знак, уплотнитель, запечатывать, тюлень"
secular,"светский, вековой"
seeker,искатель
seemingly,"кажется, казалось бы, на первый взгляд, на вид"
segment,"сегмент, участок, сектор"
seize,"воспользоваться, налагать арест, захватывать"
seldom,"редко, нечастый"
selective,"избирательный, выборочный, селективный, отборочный"
seminar,семинар
senator,сенатор
sensation,"сенсация, ощущение"
sensitivity,"чувствительность, восприимчивость"
sentiment,"чувство, настроение"
separation,"разделение, отделение, сортировка"
serial,"серийный, последовательный"
settlement,"поселение, урегулирование, колония"
settler,"поселенец, колонист"
set-up,"настройка, установка"
severely,"сурово, строго, тяжело"
sexuality,сексуальность
sexy,"секси, сексуальный, сексапильный"
shaped,"профилированный, фигурный, формованный"
shareholder,акционер
shatter,"разрушить, раздробить"
shed,"проливать, пролить, проронить"
sheer,"настоящий, чистый, прозрачный"
shipping,"доставка, отгрузка, отправка, транспортировка, поставка"
shocking,шокирующий
shoot,"побег, съёмка, охота"
shore,"берег, побережье"
short-term,краткосрочный
shortage,"дефицит, нехватка, недостаток"
shortly,"вскоре, скоро"
shrink,"уменьшаться, давать осадку"
shrug,пожимать плечами
sibling,брат или сестра
sigh,"вздох, вздыхать"
signature,"подпись, подписание"
significance,"значение, значимость, важность"
simulate,"симулировать, имитировать, моделировать"
simulation,"симулятор, моделирование, имитация, симулирование"
simultaneously,одновременно
sin,грех
situated,расположенный
sketch,"эскиз, набросок, зарисовка"
skilled,"квалифицированный, обученный, умелый"
skip,пропускать
skull,череп
slam,"хлопать, хлопнуть, сильно критиковать"
slap,"бить, давать пощёчину"
slash,"рассекать, рубить, ранить"
slavery,рабство
slogan,"слоган, девиз, лозунг"
slot,"слот, щель, прорезь, разъём, выемка"
smash,"громить, разгромить, разбивать"
snap,щёлкать
so-called,так называемый
soak,"впитывать, замачивать, промокать"
soar,"взлетать, парить, воспарять"
socialist,"социалист, социалистический"
sole,"единственный, подошва"
solely,"только, исключительно, лишь"
solicitor,адвокат
solidarity,"солидарность, единство"
solo,"соло, сольный"
somehow,"как-то, каким-то образом, так или иначе, почему-то"
sometime,"примерно, приблизительно, когда-нибудь"
sophisticated,"изысканный, сложный"
sound,"звуковой, звучный, качественный, крепкий, стабильный"
sovereignty,"суверенитет, независимость"
spam,спам
span,"охватить, охватывать, продолжительность, период, диапазон, срок"
spare,"запасной, резервный, сэкономить, обходиться без"
spark,"разжечь, разжигать, искрить"
specialize,"специализироваться, конкретизировать"
specialized,специализированный
specification,"спецификация, детализация"
specify,"указывать, определять, указать, определить"
specimen,"образец, экземпляр"
spectacle,"спектакль, зрелище, представление"
spectacular,"впечатляющий, зрелищный, захватывающий, эффектный"
spectator,"зритель, наблюдатель"
spectrum,"спектр, диапазон"
speculate,"спекулировать, предполагать"
speculation,"спекуляция, умозрение, предположение"
spell,"заклинание, чары"
sphere,"область, сфера"
spice,"пряность, специя"
spill,"проливать, пролить, разлить, разливать, растекаться, разлив, утечка"
spin,"спин, вращение, крутить, вращать, вертеть"
spine,"позвоночник, корешок"
spite,"злоба, досаждать, злить"
spoil,"испортить, портить, портиться"
spokesman,"представитель, пресс-секретарь, спикер"
spokesperson,"представитель, пресс-секретарь, спикер"
spokeswoman,"пресс-секретарь, представитель"
sponsorship,"спонсорство, финансирование"
sporting,спортивный
spotlight,"прожектор, центр внимания"
spouse,супруг или супруга
spy,"шпион, шпионский, шпионить"
squad,"отряд, команда, отделение, бригада, отдел"
squeeze,"сжимать, сдавливать, выжимать, выдавливать, давить"
stab,"закалывать, заколоть, зарезать"
stability,"стабильность, устойчивость, прочность"
stabilize,"стабилизировать, стабилизироваться"
stake,"ставка, доля, часть, кол"
stall,"стойло, прилавок, стенд, киоск, палатка, ларёк"
stance,"позиция, положение, стойка, поза"
standing,"стоящий, постоянный"
stark,"суровый, абсолютный"
starve,"голодать, морить"
statistical,статистический
steadily,"стабильно, неуклонно, постоянно, устойчиво, неизменно"
steam,пар
steer,"управлять, рулить"
stem,"шток, стебель, основа, сдерживать"
stereotype,стереотип
stimulate,"стимулировать, подталкивать, поощрять, побуждать"
stimulus,"стимул, толчок"
stir,"мешать, перемешивать, размешивать"
storage,"хранение, хранилище, склад, накопитель, память"
straightforward,"прямой, простой, прямолинейный"
strain,"штамм, напряжение, нагрузка, растяжение"
strand,"нить, нитка, прядь"
strategic,стратегический
strengthen,"усилить, усиливать, укреплять, укрепить"
strictly,строго
striking,"яркий, поразительный, удивительный, замечательный"
strip(n),"лента, полоска"
strip(v),"раздеваться, снимать, сдирать, снимать"
strive,"стремиться, прилагать усилия"
stroke,"ход, шаг, инсульт, удар, штрих, такт"
structural,"структурный, конструктивный"
stumble,"спотыкаться, ошибаться, оступаться"
stun,"ошеломлять, оглушать"
stunning,"поразительный, потрясающий, великолепный, восхитительный"
submission,"представление, подача"
subscriber,"абонент, подписчик, пользователь"
subscription,"подписка, абонемент"
subsequent,"последующий, дальнейший, очередной"
subsequently,"впоследствии, в дальнейшем, затем, позже"
subsidy,"субсидия, субсидирование"
substantial,"значительный, существенный, весомый"
substantially,"значительно, весомо, существенно"
